movie_name,release_year,certificate,duration,genre,star,metascore,votes
Yuvarathnaa,2021,not rated,161 min,"Action, Drama",6.6,nil,"3,409"
A Week Away,2021,AL,94 min,"Drama, Family, Musical",5.7,32        ,"3,372"
Maara,2021,not rated,149 min,"Adventure, Drama, Mystery",7.7,nil,"3,364"
Pelé,2021,not rated,108 min,"Documentary, Biography, Sport",7.0,61        ,"3,355"
Pacific Rim,2021– ,12,24 min,"Animation, Action, Adventure",7.1,nil,"3,341"
The Minimalists: Less Is Now,2021,AL,53 min,Documentary,5.9,nil,"3,305"
 Mare of Easttown,2021,not rated,58 min,"Crime, Drama, Mystery",8.7,nil,"3,303"
Horimiya,I 2021– ,not rated,24 min,"Animation, Comedy, Drama",8.3,nil,"3,289"
 Jujutsu Kaisen,2020– ,not rated,24 min,"Animation, Action, Adventure",9.6,nil,"3,281"
Mushoku-tensei ~Isekai ittara honki dasu~,2021– ,not rated,24 min,"Animation, Adventure, Fantasy",8.4,nil,"3,250"
Why Did You Kill Me?,2021,12,83 min,"Documentary, Crime",5.6,nil,"3,184"
Hello Charlie,2021,not rated,102 min,Comedy,5.6,nil,"3,182"
This Is a Robbery: The World's Biggest Art Heist,2021,16,210 min,"Documentary, Crime, History",6.5,nil,"3,176"
 Superman and Lois,2021– ,not rated,64 min,"Action, Adventure, Drama",8.7,nil,"3,171"
Bloodlands,2021,not rated,222 min,"Crime, Drama, Thriller",6.5,nil,"3,169"
Calls,2021– ,not rated,12 min,"Drama, Horror, Mystery",7.8,nil,"3,167"
Save Ralph,2021,not rated,4 min,"Animation, Short",8.6,nil,"3,161"
In the Earth,2021,R,107 min,"Horror, Sci-Fi, Thriller",5.2,63        ,"3,159"
